product_code,n_sites_avail,total_sizes,price_1,covered_1,nsup_1,price_2,covered_2,nsup_2,price_3,covered_3,nsup_3
LCA0414BR31,2,9,179.1,5,1,179.1,5,1,179.1,5,1
LCA0415BK11,1,9,229.0,7,1,229.0,7,1,229.0,7,1
LCA0415ST11,1,9,229.0,7,1,229.0,7,1,229.0,7,1
LCA0416BK11,1,9,199.0,7,1,199.0,7,1,199.0,7,1
LCA0416SN71,1,9,199.0,7,1,199.0,7,1,199.0,7,1
LCA0420SN71,1,9,179.0,8,1,179.0,8,1,179.0,8,1
LCA0421BR91,1,9,179.0,6,1,179.0,6,1,179.0,6,1
LCA0422OL51,2,9,161.1,5,1,161.1,5,1,161.1,5,1
LCA0422ST31,2,9,161.1,5,1,161.1,5,1,161.1,5,1
LCA0423BR31,2,9,161.1,6,1,161.1,6,1,161.1,6,1
LCA0424BR51,2,9,179.1,7,1,179.1,7,1,179.1,7,1
LCA0424OL71,2,9,179.1,6,1,179.1,6,1,179.1,6,1
LCA0426IN51,2,9,206.1,6,1,206.1,6,1,206.1,6,1
LCA0427CR11,5,9,161.1,6,3,161.1,6,2,161.1,6,2
LCA0427OL51,4,9,161.1,6,2,161.1,6,2,161.1,6,2
LCA0428BR92,2,9,149.0,6,2,149.0,6,2,149.0,6,2
LCA0428CR11,2,9,149.0,6,2,149.0,6,2,149.0,6,2
LCA0430SG71,1,9,199.0,7,1,199.0,7,1,199.0,7,1
LCA0430SN71,1,9,199.0,7,1,199.0,7,1,199.0,7,1
LCA0431BK11,1,9,269.0,8,1,269.0,8,1,269.0,8,1
LCA0431ST31,1,9,269.0,8,1,269.0,8,1,269.0,8,1
LFL0055CR11,3,9,60.71,1,1,79.95,4,1,79.95,4,1
LFL0055PI11,2,9,60.71,1,1,89.95,4,1,89.95,4,1
LFL0056BR91,5,9,107.1,6,3,107.1,6,3,107.1,6,3
LFL0056CR11,4,9,88.95,5,1,88.95,5,1,88.95,5,1
LFL0056SG71,5,9,83.3,1,1,107.1,6,3,107.1,6,3
LFL0078BR92,7,9,71.95,4,1,71.95,4,1,71.95,4,1
LFL0078CR31,5,9,62.96,6,2,62.96,6,2,59.95,6,1
LFL0078NY71,5,9,62.96,1,1,79.95,6,2,79.95,6,2
LFL0078PI52,3,9,64.96,1,1,79.95,6,1,79.95,6,1
LFL0078RE71,1,9,62.96,2,1,62.96,2,1,62.96,2,1
LFL0078SG71,4,9,79.95,6,2,79.95,6,2,79.95,6,2
LFL0080OL51,1,9,119.95,4,1,119.95,4,1,119.95,4,1
LFL0084CR31,2,9,78.85,1,1,125.1,4,1,125.1,4,1
LFL0086BE93,1,9,99.95,6,1,99.95,6,1,99.95,6,1
LFL0086RE97,1,9,99.95,6,1,99.95,6,1,99.95,6,1
LFL0088BE93,1,9,119.0,6,1,119.0,6,1,119.0,6,1
LFL0090TN43,4,9,116.1,5,1,116.1,5,1,116.1,5,1
LFL0091CR52,5,9,89.95,6,1,89.95,6,1,89.95,6,1
LFL0091NY99,3,9,99.95,7,3,99.95,7,3,99.95,7,3
LFL0093OL71,3,9,79.95,7,3,79.95,7,3,79.95,7,3
LFL0094CR52,2,9,76.95,5,1,76.95,5,1,76.95,5,1
LFL0094NY99,1,9,89.95,7,1,89.95,7,1,89.95,7,1
LFL0095BE93,6,9,89.95,6,3,89.95,6,3,89.95,6,3
LFL0095OL71,3,9,89.95,6,1,89.95,6,1,89.95,6,1
LFL0095RE97,3,9,89.95,6,1,89.95,6,1,89.95,6,1
LFL0098BK11,3,9,98.1,6,2,98.1,6,2,98.1,6,2
LFL0098BR75,2,9,98.1,4,1,98.1,4,1,98.1,4,1
LFL0098WH12,2,9,98.1,1,1,109.0,6,1,109.0,6,1
LFL0099BR75,3,9,89.95,6,2,89.95,6,2,89.95,6,2
LFL0100BK11,2,9,80.95,6,1,80.95,6,1,80.95,6,1
LGI0003BK11,4,9,60.26,1,1,80.75,2,1,89.95,6,1
LGI0003BL21,1,9,89.95,2,1,89.95,2,1,89.95,2,1
LGI0003BR91,2,9,89.95,6,1,89.95,6,1,89.95,6,1
LGI0003CR31,3,9,62.96,2,1,62.96,2,1,89.95,5,1
LGI0003NY71,4,9,54.15,1,1,62.96,3,1,62.96,3,1
LGI0003OL52,3,9,56.05,1,1,89.95,6,1,89.95,6,1
LGI0003PI15,1,9,89.95,4,1,89.95,4,1,89.95,4,1
LGI0016BE31,2,9,116.1,3,1,116.1,3,1,116.1,3,1
LGI0016BK91,2,9,116.1,5,1,116.1,5,1,116.1,5,1
LGI0016NY71,3,9,96.95,5,1,96.95,5,1,96.95,5,1
LGI0016OL51,3,9,116.1,6,2,116.1,6,1,116.1,6,1
LGI0017BE32,3,9,107.1,6,2,107.1,6,2,107.1,6,2
LGI0017BK11,3,9,94.95,1,1,107.1,6,1,107.1,6,1
LGI0017NY71,2,9,107.1,7,1,107.1,7,1,107.1,7,1
LGI0017OL51,3,9,76.5,3,1,76.5,3,1,76.5,3,1
LGI0017PU95,2,9,107.1,5,1,107.1,5,1,107.1,5,1
LGI0017RE61,2,9,107.1,7,1,107.1,7,1,107.1,7,1
LGI0201BK11,2,9,107.1,7,1,107.1,7,1,107.1,7,1
LGI0201BR31,2,9,107.1,6,1,107.1,6,1,107.1,6,1
LGI0202BK91,1,9,116.1,1,1,116.1,1,1,116.1,1,1
LGI0204BK11,2,9,159.95,4,1,159.95,4,1,159.95,4,1
LGI0208GN91,2,9,100.08,4,1,100.08,4,1,100.08,4,1
LGI0208NY91,1,9,100.08,4,1,100.08,4,1,100.08,4,1
LGI0209BK91,1,9,124.45,4,1,124.45,4,1,124.45,4,1
LGI0210BK11,2,9,103.55,6,1,103.55,6,1,103.55,6,1
LGI0213BE91,1,9,107.1,5,1,107.1,5,1,107.1,5,1
LGI0213BK11,2,9,64.6,1,1,107.1,4,1,107.1,4,1
LGI0217BK11,2,9,77.9,3,1,77.9,3,1,77.9,3,1
LGI0219CR11,1,9,89.96,3,1,89.96,3,1,89.96,3,1
LGI0219GN93,1,9,89.96,5,1,89.96,5,1,89.96,5,1
LGI0220GN91,6,9,71.95,4,2,71.95,4,2,70.95,4,1
LGI0220NY91,2,9,84.55,3,1,84.55,3,1,84.55,3,1
LGI0223NY91,2,9,116.1,2,1,116.1,2,1,129.0,6,1
LGI0223WH11,1,9,129.0,6,1,129.0,6,1,129.0,6,1
LGI0224BK11,3,9,152.1,6,2,152.1,6,2,152.1,6,2
LGI0224PI11,2,9,152.1,6,1,152.1,6,1,152.1,6,1
LGI0225BK11,1,9,229.0,7,1,229.0,7,1,229.0,7,1
LGI0226BK11,1,9,129.0,6,1,129.0,6,1,129.0,6,1
LGI0226OL71,1,9,129.0,6,1,129.0,6,1,129.0,6,1
LGI0228CR11,3,9,116.1,7,2,116.1,7,2,116.1,7,2
LGI0228OL51,4,9,116.1,7,3,116.1,7,3,116.1,7,3
LGI0229BE33,1,9,129.0,6,1,129.0,6,1,129.0,6,1
LGI0229OL51,2,9,116.1,6,1,116.1,6,1,116.1,6,1
LLI0003BK11,6,7,66.95,5,2,72.0,6,3,71.95,6,2
LLI0003BR71,3,7,71.95,7,1,71.95,7,1,71.95,7,1
LLI0003NY91,4,7,72.0,8,2,72.0,8,2,72.0,8,2
LLI0003OL71,5,7,72.0,7,2,72.0,7,2,66.95,7,1
LML0633WH33,1,9,35.15,1,1,35.15,1,1,35.15,1,1
LOL0623NY73,2,9,48.56,4,2,48.56,3,1,48.56,3,1
LOL0649BE11,1,9,71.96,1,1,71.96,1,1,71.96,1,1
LOL0654PI32,1,9,53.96,1,1,53.96,1,1,53.96,1,1
LOL0659BK11,1,9,71.95,6,1,71.95,6,1,71.95,6,1
LOL0660BK11,1,9,80.95,3,1,80.95,3,1,80.95,3,1
LOL0660BR51,1,9,80.95,4,1,80.95,4,1,80.95,4,1
LOL0668NY99,4,9,50.36,2,2,53.95,5,1,53.95,5,1
LOL0669NY99,1,9,45.6,4,1,45.6,4,1,45.6,4,1
LOL0671PI98,2,9,57.0,1,1,79.95,6,1,79.95,6,1
LOL0672NY73,4,9,42.26,3,2,39.9,3,1,39.9,3,1
LOL0673NY73,3,9,45.6,4,1,45.6,4,1,45.6,4,1
LOL0677PI57,1,9,71.96,5,1,71.96,5,1,71.96,5,1
LOL0677PU13,1,9,71.96,4,1,71.96,4,1,71.96,4,1
LOL0678BK11,1,9,80.96,3,1,80.96,3,1,80.96,3,1
LOL0679BK11,1,9,62.96,6,1,62.96,6,1,62.96,6,1
LQU0030BK91,3,9,151.05,2,1,151.05,2,1,179.1,8,1
LQU0030BR92,2,9,179.1,8,1,179.1,8,1,179.1,8,1
LQU0087BE31,2,9,152.1,3,1,152.1,3,1,152.1,3,1
LQU0087BK91,5,9,130.5,7,3,130.5,7,2,130.5,7,2
LQU0087BR95,2,9,152.1,8,1,152.1,8,1,152.1,8,1
LQU0087NY91,3,9,130.5,7,1,130.5,7,1,130.5,7,1
LQU0087OL91,3,9,130.5,5,1,130.5,5,1,130.5,5,1
LQU0087PI51,1,9,152.1,1,1,152.1,1,1,152.1,1,1
LQU0087ST32,1,9,130.5,3,1,130.5,3,1,130.5,3,1
LQU0228BK91,6,9,73.15,2,1,73.15,2,1,111.95,6,2
LQU0228BL21,2,9,107.28,5,1,107.28,5,1,107.28,5,1
LQU0228NY91,3,9,95.95,5,1,95.95,5,1,95.95,5,1
LQU0228OL56,3,9,94.05,3,1,94.05,3,1,94.05,3,1
LQU0228PI71,1,9,134.1,1,1,134.1,1,1,134.1,1,1
LQU0228ST31,3,9,95.95,3,1,95.95,3,1,95.95,3,1
LQU0236CR51,3,9,76.45,8,2,76.45,8,1,76.45,8,1
LQU0236NY91,3,9,76.45,7,2,76.45,7,1,76.45,7,1
LQU0316BK91,2,9,152.1,3,1,152.1,3,1,152.1,3,1
LQU0471BK91,4,9,130.5,2,1,130.5,2,1,152.1,8,1
LQU0471BR11,3,9,130.5,3,1,130.5,3,1,130.5,3,1
LQU0471NY91,4,9,130.5,4,2,130.5,4,2,130.5,4,2
LQU0471OL91,3,9,130.5,2,1,130.5,2,1,152.1,6,1
LQU0475BE53,4,9,92.88,5,2,92.88,4,1,92.88,4,1
LQU0475BE93,1,7,92.88,2,1,92.88,2,1,92.88,2,1
LQU0475BK91,4,7,97.85,6,2,97.85,6,2,97.85,6,2
LQU0475CR71,2,9,92.88,7,1,92.88,7,1,92.88,7,1
LQU0475NY91,4,7,92.88,5,1,92.88,5,1,92.88,5,1
LQU0475OL91,3,7,97.85,4,1,97.85,4,1,97.85,4,1
LQU0475PI56,2,9,92.88,4,1,92.88,4,1,92.88,4,1
LQU0475RE61,2,9,116.1,7,1,116.1,7,1,116.1,7,1
LQU0475RE96,2,9,116.1,8,1,116.1,8,1,116.1,8,1
LQU0475SN11,3,9,116.1,7,2,116.1,7,2,116.1,7,2
LQU0519BK91,3,9,128.66,2,1,128.66,2,1,161.1,8,1
LQU0519CR51,4,9,116.85,2,1,116.85,2,1,128.88,6,1
LQU0519NY91,4,9,128.88,6,2,128.88,5,1,128.88,5,1
LQU0665BE34,2,9,161.1,3,1,161.1,3,1,161.1,3,1
LQU0665BK12,5,9,133.95,5,2,133.95,4,1,133.95,4,1
LQU0665GN92,2,9,161.1,3,1,161.1,3,1,161.1,3,1
LQU0665NY94,2,9,161.1,3,1,161.1,3,1,161.1,3,1
LQU1012BE34,4,9,80.75,1,1,94.5,6,1,94.5,6,1
LQU1012BK91,3,9,97.85,6,1,97.85,6,1,97.85,6,1
LQU1012BR92,2,9,116.1,7,1,116.1,7,1,116.1,7,1
LQU1012NY71,4,9,97.85,7,2,97.85,7,2,97.85,7,1
LQU1012OL51,5,9,77.0,1,1,97.85,6,2,97.85,6,2
LQU1064BK91,5,9,113.05,4,3,113.05,4,2,107.06,4,1
LQU1064NY71,4,9,94.05,3,1,94.05,3,1,94.05,3,1
LQU1064OL53,3,9,108.0,2,1,108.0,2,1,134.1,4,1
LQU1542NY91,3,9,179.1,7,1,179.1,7,1,179.1,7,1
LQU1745BE31,1,9,251.1,1,1,251.1,1,1,251.1,1,1
LQU1745BK11,2,9,197.6,1,1,229.95,3,1,229.95,3,1
LQU1745OL52,2,9,179.55,2,1,179.55,2,1,199.95,4,1
LQU1765BK91,4,9,187.15,6,2,187.15,6,2,187.15,6,2
LQU1765NY71,3,9,166.44,4,1,166.44,4,1,166.44,4,1
LQU1765SG71,3,9,166.4,1,1,197.1,6,1,197.1,6,1
LQU1767BR52,3,9,152.1,6,2,152.1,5,1,152.1,5,1
LQU1767TN14,1,9,169.0,8,1,169.0,8,1,169.0,8,1
LQU1813BK11,3,9,89.95,2,2,134.1,3,1,134.1,3,1
LQU1815WH11,1,9,179.1,1,1,179.1,1,1,179.1,1,1
LQU1820BK91,2,9,128.25,1,1,128.25,1,1,128.25,1,1
LQU1839BK11,1,9,129.95,3,1,129.95,3,1,129.95,3,1
LQU1839OL71,2,9,99.95,6,2,99.95,5,1,99.95,5,1
LQU1849BK91,2,9,224.1,7,1,224.1,7,1,224.1,7,1
LQU1849SG71,2,9,224.1,7,1,224.1,7,1,224.1,7,1
LQU1851BE72,2,9,152.1,7,1,152.1,7,1,152.1,7,1
LQU1851BK91,2,9,128.25,1,1,169.0,8,1,169.0,8,1
LQU1851GN14,2,9,101.66,4,1,101.66,4,1,101.66,4,1
LQU1851NY52,2,9,152.1,7,1,152.1,7,1,152.1,7,1
LQU1851NY71,1,9,152.1,2,1,152.1,2,1,152.1,2,1
LQU1851OL74,2,9,152.1,7,1,152.1,7,1,152.1,7,1
LQU1851PI53,1,9,152.1,6,1,152.1,6,1,152.1,6,1
LQU1852BE72,2,9,152.1,2,1,152.1,2,1,169.0,8,1
LQU1852BK91,2,9,152.1,6,1,152.1,6,1,152.1,6,1
LQU1852GN14,1,9,152.1,2,1,152.1,2,1,152.1,2,1
LQU1852NY52,2,9,152.1,7,1,152.1,7,1,152.1,7,1
LQU1852OL74,2,9,152.1,6,1,152.1,6,1,152.1,6,1
LQU1852PI53,1,9,152.1,3,1,152.1,3,1,152.1,3,1
LQU1858OL71,2,9,139.95,2,1,139.95,2,1,229.95,7,1
LQU1859OL71,3,9,190.0,4,2,190.0,4,2,189.0,3,1
LQU1861BK91,2,9,109.25,3,1,109.25,3,1,109.25,3,1
LQU1863CR31,1,9,242.1,5,1,242.1,5,1,242.1,5,1
LQU1864BK91,2,9,132.05,2,1,132.05,2,1,132.05,2,1
LQU1866BK91,2,9,128.25,1,1,206.1,2,1,128.25,1,1
LQU1866GN31,2,9,132.05,2,1,132.05,2,1,206.1,3,1
LQU1867CR31,1,9,161.1,5,1,161.1,5,1,161.1,5,1
LQU1878BE91,1,9,242.1,6,1,242.1,6,1,242.1,6,1
LQU1880BK11,1,9,188.1,6,1,188.1,6,1,188.1,6,1
LQU1880CR11,1,9,188.1,4,1,188.1,4,1,188.1,4,1
LQU1883OL71,2,9,149.15,1,1,224.1,6,1,224.1,6,1
LQU1885NY91,1,9,179.1,4,1,179.1,4,1,179.1,4,1
LQU1885OL71,1,9,179.1,4,1,179.1,4,1,179.1,4,1
LQU1887BE31,2,9,161.1,1,1,206.1,4,1,206.1,4,1
LQU1894GN34,2,9,95.95,3,1,95.95,3,1,95.95,3,1
LQU1894PI32,1,9,152.1,4,1,152.1,4,1,152.1,4,1
LQU1895CR11,1,9,152.1,5,1,152.1,5,1,152.1,5,1
LQU1895GN93,1,9,152.1,5,1,152.1,5,1,152.1,5,1
LQU1896CR11,1,9,179.1,1,1,179.1,1,1,179.1,1,1
LQU1896GN93,1,9,179.1,1,1,179.1,1,1,179.1,1,1
LQU1897CR11,1,9,152.1,6,1,152.1,6,1,152.1,6,1
LQU1898NY91,1,9,134.1,6,1,134.1,6,1,134.1,6,1
LQU1898ST11,1,9,134.1,6,1,134.1,6,1,134.1,6,1
LQU1899NY71,1,9,134.1,6,1,134.1,6,1,134.1,6,1
LQU1900GN91,2,9,100.95,1,1,100.95,1,1,100.95,1,1
LQU1900NY91,1,9,152.1,1,1,152.1,1,1,152.1,1,1
LQU1908GN31,2,9,152.1,6,1,152.1,6,1,152.1,6,1
LQU1908NY91,2,9,152.1,6,1,152.1,6,1,152.1,6,1
LQU1912BK11,3,9,179.1,6,2,179.1,6,2,179.1,6,2
LQU1912BR31,3,9,179.1,6,2,179.1,6,2,179.1,6,1
LQU1912CR11,2,9,179.1,6,1,179.1,6,1,179.1,6,1
LQU1913BK12,2,9,197.1,6,1,197.1,6,1,197.1,6,1
LQU1913BR31,3,9,197.1,6,2,197.1,6,2,197.1,6,1
LQU1914BK11,3,9,179.1,6,2,179.1,6,2,179.1,6,2
LQU1914BR31,3,9,179.1,4,2,179.1,4,2,179.1,4,2
LQU1914PI11,2,9,179.1,6,1,179.1,6,1,179.1,6,1
LQU1917BK91,2,9,179.1,6,1,179.1,6,1,179.1,6,1
LQU1917CR31,2,9,179.1,6,1,179.1,6,1,179.1,6,1
LQU1918BK91,2,9,179.1,6,1,179.1,6,1,179.1,6,1
LQU1918BR31,2,9,179.1,6,1,179.1,6,1,179.1,6,1
LQU1918PI11,2,9,179.1,6,1,179.1,6,1,179.1,6,1
LQU1920BK91,1,9,169.0,7,1,169.0,7,1,169.0,7,1
LQU1920GN71,1,9,169.0,7,1,169.0,7,1,169.0,7,1
LQU1920ST11,1,9,169.0,7,1,169.0,7,1,169.0,7,1
LQU1921GN71,1,9,199.0,7,1,199.0,7,1,199.0,7,1
LQU1921ST11,1,9,199.0,7,1,199.0,7,1,199.0,7,1
LQU1922BK11,2,9,206.1,6,1,206.1,6,1,206.1,6,1
LQU1922OL71,2,9,206.1,2,1,206.1,2,1,229.0,6,1
LQU1924BR91,2,9,161.1,7,1,161.1,7,1,161.1,7,1
LQU1924NY91,2,9,161.1,6,1,161.1,6,1,161.1,6,1
LQU1924OL51,2,9,161.1,7,1,161.1,7,1,161.1,7,1
LQU1925BE31,2,9,161.1,7,1,161.1,7,1,161.1,7,1
LQU1925BR91,2,9,161.1,7,1,161.1,7,1,161.1,7,1
LQU1925OL51,2,9,161.1,7,1,161.1,7,1,161.1,7,1
LQU1926BE31,2,9,206.1,4,1,206.1,4,1,206.1,4,1
LQU1926NY91,2,9,206.1,7,1,206.1,7,1,206.1,7,1
LQU1926OL51,2,9,206.1,7,1,206.1,7,1,206.1,7,1
LQU1927BK91,2,9,206.1,7,1,206.1,7,1,206.1,7,1
LQU1927OL53,2,9,206.1,7,1,206.1,7,1,206.1,7,1
LQU1928BK11,2,9,242.1,7,1,242.1,7,1,242.1,7,1
LQU1928OL71,2,9,242.1,7,1,242.1,7,1,242.1,7,1
LQU1928SN31,2,9,242.1,7,1,242.1,7,1,242.1,7,1
LQU1929BK11,2,9,242.1,7,1,242.1,7,1,242.1,7,1
LQU1929BR91,2,9,242.1,7,1,242.1,7,1,242.1,7,1
LQU1929OL51,2,9,242.1,7,1,242.1,7,1,242.1,7,1
LQU1931NY91,2,9,179.1,7,1,179.1,7,1,179.1,7,1
LQU1931OL71,2,9,179.1,7,1,179.1,7,1,179.1,7,1
LQU1932TN11,2,9,179.1,7,1,179.1,7,1,179.1,7,1
LQU1933BK11,2,9,179.1,8,1,179.1,8,1,179.1,8,1
LQU1933OL71,2,9,179.1,8,1,179.1,8,1,179.1,8,1
LQU1933SN31,2,9,179.1,2,1,179.1,2,1,199.0,8,1
LQU1934BK91,2,9,152.1,7,1,152.1,7,1,152.1,7,1
LQU1934BR92,2,9,152.1,7,1,152.1,7,1,152.1,7,1
LQU1934OL74,2,9,152.1,6,1,152.1,6,1,152.1,6,1
LQU1935NY92,2,9,161.1,6,1,161.1,6,1,161.1,6,1
LQU1936BK91,1,9,179.0,6,1,179.0,6,1,179.0,6,1
LQU1936BR92,2,9,179.0,6,2,179.0,6,2,179.0,6,2
LQU1936OL74,2,9,179.0,6,2,179.0,6,2,179.0,6,2
LQU1938BK11,2,9,224.1,6,1,224.1,6,1,224.1,6,1
LQU1938BR31,2,9,224.1,6,1,224.1,6,1,224.1,6,1
LQU1938CR11,2,9,224.1,6,1,224.1,6,1,224.1,6,1
LQU1939BR71,2,9,224.1,7,1,224.1,7,1,224.1,7,1
LQU1940BK11,2,9,152.1,7,1,152.1,7,1,152.1,7,1
LQU1940BR92,2,9,152.1,8,1,152.1,8,1,152.1,8,1
LQU1941BE31,2,9,224.1,7,1,224.1,7,1,224.1,7,1
LQU1941BR91,2,9,224.1,7,1,224.1,7,1,224.1,7,1
LQU1943BE33,2,9,161.1,7,1,161.1,7,1,161.1,7,1
LQU1943BK11,2,9,161.1,3,1,161.1,3,1,161.1,3,1
LQU1943OL51,2,9,161.1,7,1,161.1,7,1,161.1,7,1
LQU1945BR71,2,9,161.1,6,1,161.1,6,1,161.1,6,1
LQU1946SG71,2,9,299.0,7,2,299.0,7,2,299.0,7,2
LQU1947BR92,2,9,242.1,6,1,242.1,6,1,242.1,6,1
LQU1947OL51,1,9,269.0,7,1,269.0,7,1,269.0,7,1
LQU1949OL72,1,9,249.0,7,1,249.0,7,1,249.0,7,1
LQU1950BK91,1,9,249.0,7,1,249.0,7,1,249.0,7,1
LQU1950ST32,1,9,249.0,7,1,249.0,7,1,249.0,7,1
LQU1950ST71,1,9,249.0,7,1,249.0,7,1,249.0,7,1
LQU1966BK11,2,9,224.1,6,1,224.1,6,1,224.1,6,1
LSP0081NY31,2,9,206.1,7,1,206.1,7,1,206.1,7,1
LSP0081ST33,2,9,206.1,3,1,206.1,3,1,206.1,3,1
LSP0183OL71,1,9,231.2,1,1,231.2,1,1,231.2,1,1
LSP0211NY51,1,9,224.1,3,1,224.1,3,1,224.1,3,1
LSP0211ST51,1,9,224.1,2,1,224.1,2,1,224.1,2,1
LSP0220PI31,1,9,143.1,2,1,143.1,2,1,143.1,2,1
LSP0220ST33,1,9,143.1,2,1,143.1,2,1,143.1,2,1
LSP0233GN32,1,9,146.3,1,1,146.3,1,1,146.3,1,1
LSP0233NY93,1,9,179.1,1,1,179.1,1,1,179.1,1,1
LSP0233ST33,1,9,179.1,1,1,179.1,1,1,179.1,1,1
LSP0235NY91,3,9,119.7,2,1,119.7,2,1,169.95,4,1
LSP0235ST31,1,9,197.1,4,1,197.1,4,1,197.1,4,1
LSP0241BR52,1,9,179.1,1,1,179.1,1,1,179.1,1,1
LSP0245BE51,1,9,209.95,6,1,209.95,6,1,209.95,6,1
LSP0247BE51,1,9,224.1,1,1,224.1,1,1,224.1,1,1
LSP0249BR32,1,9,189.95,5,1,189.95,5,1,189.95,5,1
LSP0249OL51,1,9,189.95,7,1,189.95,7,1,189.95,7,1
LSP0250NY91,1,9,189.95,7,1,189.95,7,1,189.95,7,1
LSP0252IN71,1,9,179.1,1,1,179.1,1,1,179.1,1,1
LSP0256BR51,5,9,197.6,2,2,219.0,8,2,219.0,8,2
LSP0256CR11,3,9,197.1,2,1,197.1,2,1,219.0,8,1
LSP0259CR31,1,9,251.1,2,1,251.1,2,1,251.1,2,1
LSP0270BK11,1,9,179.1,5,1,179.1,5,1,179.1,5,1
LSP0270GY31,1,9,179.1,6,1,179.1,6,1,179.1,6,1
LSP0271OL51,1,9,251.1,5,1,251.1,5,1,251.1,5,1
LSP0273BE31,2,9,134.99,1,1,242.1,4,1,242.1,4,1
LSP0275NY91,1,9,179.1,3,1,179.1,3,1,179.1,3,1
LSP0276SG71,1,9,242.1,1,1,242.1,1,1,242.1,1,1
LSP0278BK11,1,9,197.1,6,1,197.1,6,1,197.1,6,1
LSP0295BK11,1,9,143.1,5,1,143.1,5,1,143.1,5,1
LSP0295WH11,1,9,143.1,5,1,143.1,5,1,143.1,5,1
LSP0298PI31,1,9,179.1,1,1,179.1,1,1,179.1,1,1
LSP0299BK11,1,9,152.1,2,1,152.1,2,1,152.1,2,1
LSP0299WH11,1,9,152.1,6,1,152.1,6,1,152.1,6,1
LSP0304CR31,1,9,170.1,1,1,170.1,1,1,170.1,1,1
LSP0304OL72,1,9,129.95,3,1,129.95,3,1,129.95,3,1
LSP0305OL72,1,9,179.95,3,1,179.95,3,1,179.95,3,1
LSP0306CR31,2,9,149.95,5,1,149.95,5,1,149.95,5,1
LSP0306OL72,2,9,179.1,2,2,169.95,2,1,179.1,2,2
LSP0307BK11,1,9,149.95,2,1,149.95,2,1,149.95,2,1
LSP0307GN51,3,9,118.3,1,1,139.95,3,1,139.95,3,1
LSP0310NY91,1,9,189.95,4,1,189.95,4,1,189.95,4,1
LSP0310OL72,2,9,206.1,3,2,206.1,3,2,206.1,3,1
LSP0311CR31,1,9,161.1,3,1,161.1,3,1,161.1,3,1
LSP0311OL72,2,9,125.0,3,1,125.0,3,1,125.0,3,1
LSP0313OL51,2,9,181.45,2,1,181.45,2,1,242.1,5,1
LSP0315ST31,1,9,197.1,2,1,197.1,2,1,197.1,2,1
LSP0316OL11,2,9,122.55,3,1,122.55,3,1,122.55,3,1
LSP0316ST31,1,9,179.1,3,1,179.1,3,1,179.1,3,1
LSP0317NY91,1,9,145.0,6,1,145.0,6,1,145.0,6,1
LSP0319OL51,1,9,152.1,3,1,152.1,3,1,152.1,3,1
LSP0320NY71,2,9,149.95,1,1,149.95,1,1,149.95,1,1
